,Processed Dataset,Accuracy
35,Serum(Specific Metabolics),0.928676185
50,tsne2_plasma(Specific Metabolics),0.907085276
45,pca10_serum(Specific Metabolics),0.904365773
42,pca5_plasma(Specific Metabolics),0.903302253
44,pca10_plasma(Specific Metabolics),0.900145688
40,pca4_plasma(Specific Metabolics),0.897746698
43,pca5_serum(Specific Metabolics),0.89736791
46,pca15_plasma(Specific Metabolics),0.897363054
49,pca20_serum(Specific Metabolics),0.896663753
36,pca2_plasma(Specific Metabolics),0.896037296
47,pca15_serum(Specific Metabolics),0.89591589
38,pca3_plasma(Specific Metabolics),0.893895688
0,Plasma(Exploratory),0.890166084
37,pca2_serum(Specific Metabolics),0.887330031
51,tsne2_serum(Specific Metabolics),0.887009518
48,pca20_plasma(Specific Metabolics),0.883479021
34,Plasma(Specific Metabolics),0.882031857
5,pca3_serum(Exploratory),0.8817162
13,tsne3_serum(Exploratory),0.8817162
39,pca3_serum(Specific Metabolics),0.879560023
41,pca4_serum(Specific Metabolics),0.876150932
7,pca4_serum(Exploratory),0.871037296
14,Plasma(Raw),0.870911033
1,Serum(Exploratory),0.870284577
9,pca5_serum(Exploratory),0.867501943
3,pca2_serum(Exploratory),0.866870629
11,tsne2_serum(Exploratory),0.866870629
20,pca4_plasma,0.858158508
26,pca15_plasma,0.852161033
15,Serum(Raw),0.847246503
24,pca10_plasma,0.844910645
29,pca20_serum,0.844463869
8,pca5_plasma(Exploratory),0.843842269
4,pca3_plasma(Exploratory),0.839355089
10,tsne2_plasma(Exploratory),0.833448912
22,pca5_plasma,0.832123155
18,pca3_plasma,0.830516706
21,pca4_serum,0.829496892
28,pca20_plasma,0.827097902
23,pca5_serum,0.82527195
6,pca4_plasma(Exploratory),0.824440559
25,pca10_serum,0.82047397
2,pca2_plasma(Exploratory),0.819716395
27,pca15_serum,0.812082362
16,pca2_plasma,0.798572261
30,tsne2_plasma,0.784688228
19,pca3_serum,0.776981352
32,tsne3_plasma,0.771479215
31,tsne2_serum,0.77111014
12,tsne3_plasma(Exploratory),0.770100039
52,tsne3_plasma(Specific Metabolics),0.759561966
53,tsne3_serum(Specific Metabolics),0.730612859
33,tsne3_serum,0.716890054
17,pca2_serum,0.696250971
