Features,p-Value
3-hydroxybutanoic acid,0.04579484397874315
alanine,0.373660196324166
azelaic acid,0.2556490287852931
dodecanol,0.3082273605143675
fumaric acid,0.44652322786935983
heptadecanoic acid,0.7463329513217732
hydroxycarbamate NIST,0.9139273122926718
hydroxylamine,0.2767931672236093
indole-3-lactate,0.3662762233379758
lysine,0.021966426078996022
p-cresol,0.027933600956413875
serine,0.2845086279030644
threonine,0.016943458088051026
tyrosine,0.2197981309844521
urea,0.7899569852362215
1_5-anhydroglucitol,0.6451666190665317
1-monostearin,0.11197537619510853
2_3-dihydroxybutanoic acid NIST,0.49347572580319155
2_4-diaminobutyric acid,0.49623255054455506
2-deoxyerythritol,0.5903512733009821
2-deoxytetronic acid,0.07423989048445355
2-hydroxybutanoic acid,0.6165919653051497
2-hydroxyglutaric acid,0.6344416487030322
2-hydroxyhippuric acid,0.10311036443455893
2-hydroxyvaleric acid,0.09862511856966809
2-ketoglucose dimethylacetal NIST,0.2400007766681269
2-ketoisocaproic acid,0.1317304379528904
3-(3-hydroxyphenyl)propionic acid,0.16863205085732133
3-aminoisobutyric acid,0.7426567154694868
3-hydroxybutyric acid,0.19098362663916954
acetoacetate,0.6694547096263623
aconitic acid,0.5969737454732942
alloxanoic acid NIST,0.4721062484713995
aminomalonate,0.4093915392970703
arabitol,0.8878556886325857
arachidic acid,0.42113448415456534
arachidonic acid,0.34371149674446944
behenic acid,0.2170204726871917
butane-2_3-diol NIST,0.35193569009783765
butyrolactam NIST,0.17241896165600645
capric acid,0.3953867764695308
caprylic acid,0.25988554774521977
cellobiose,0.28717696382624136
cholesterol,0.25791039830415974
creatinine,0.448889151891238
cysteine,0.9205792082389445
cysteine-glycine,0.06926158076012918
cystine,0.01649372722051447
dehydroascorbic acid,0.7392292841838315
deoxypentitol,0.19297508034724004
diglycerol,0.5176754331817621
epsilon-caprolactam,0.9071923037532775
erythritol,0.8396768442521078
fructose,0.11852543175428432
fucose,0.6808949313935238
galactinol,0.9824508123834548
galactitol,0.5915696514132505
glucoheptulose,0.14636016081367706
gluconic acid,0.833935979918254
glucose,0.1589739718403033
glutamic acid,0.05616710500779459
glyceric acid,0.5894666363701503
glycerol,0.848010585370164
glycerol-3-galactoside,0.08915788328549043
glycerol-alpha-phosphate,0.10239093016922919
glycine,0.3148412602726496
glycolic acid,0.7136197049132618
hexitol,0.04256282231233166
hexuronic acid,0.5279729780965124
hippuric acid,0.3014967885080319
histidine,0.45715410241636145
indole-3-acetate,0.8118546359636885
inosine,0.1997110986467317
isoleucine,0.4886153543417969
isothreonic acid,0.06016974966892745
lactamide,0.04433239261111783
lauric acid,0.40997262615583996
leucine,0.3283751070982759
levoglucosan,0.8581348256577626
linoleic acid,0.6223069017994094
lyxitol,0.347492013320707
mannitol,0.6323590890861632
mannose,0.9566110654719684
methanolphosphate,0.3147073610083225
methionine,0.9290596134963887
myo-inositol,0.4685222163071743
myristic acid,0.35986380244525606
N-acetyl-5-hydroxytryptamine,0.05038705640721905
N-acetylglycine NIST,0.250329520994215
N-acetylornithine,0.5597745263034939
naproxen,0.0856987726505693
nicotinic acid,0.4263702454272036
oleic acid,0.9468434764003111
ornithine,0.5533160507314365
oxalic acid,0.8939615856812321
oxoproline,0.2370067236086696
palmitic acid,0.606704573910259
palmitoleic acid,0.6516575291588942
parabanic acid NIST,0.5722162909014346
pelargonic acid,0.6692848910291396
phenylalanine,0.6356767915156153
phenylethylamine,0.13214781184785515
phosphate,0.4851531868466431
pipecolinic acid,0.5454988680930538
piperidone,0.5677295771627431
proline,0.7353649346603748
propane-1_3-diol NIST,0.037614393204771356
pseudo uridine,0.2508555131361125
pyrrole-2-carboxylic acid,0.3782280934520892
quinic acid,0.017640446865603614
ribose,0.34711405594757627
salicylaldehyde,0.9371242420439655
salicylic acid,0.2290417598596155
stearic acid,0.9156704329367226
sucrose,0.2380362226115142
tartaric acid,0.7521497291150318
threitol,0.42735738783453825
tocopherol alpha-,0.07837065974880872
tocopherol gamma-,0.26651339643629673
trans-4-hydroxyproline,0.17626888598899332
UDP-glucuronic acid,0.23997781552820052
uridine,0.9893561874149248
valine,0.4001870764911769
xylitol,0.5436058219602458
xylose,0.6720579513008269
beta-alanine,0.2088806420423934
citric acid,0.16560495843399134
conduritol-beta-epoxide,0.7879517889710475
indoxyl sulfate,0.24063840552892252
isocitric acid,0.8310830244658519
shikimic acid,0.6832223468333045
threonic acid,0.10964828016326042
