,pc1,pc2,Class
0,27494.666256812743,-4268.93194587395,disease
1,-57539.16570277656,4757.688254445403,disease
2,-85672.79139933712,104415.05337476931,disease
3,-53732.40516463552,22974.106035203204,disease
4,48946.57597815341,10084.126039652137,disease
5,-60939.01254712282,66761.91682631125,disease
6,33735.716804385134,112565.20959256744,disease
7,-20220.826434550007,-14604.008867124041,disease
8,-21137.276182101035,-99100.54507035611,disease
9,182004.95315224194,34307.35301375196,disease
10,-131649.7524053739,22250.750707388743,disease
11,-65047.805961722384,180129.41688873444,disease
12,-42597.65126385313,64948.33121772884,disease
13,86364.69330916244,-72102.51353724688,disease
14,-72772.20213346231,50787.88946025638,disease
15,-71976.20185804306,3852.6579415899655,disease
16,-53044.7606959152,81604.34011780996,disease
17,-93996.88476639245,-64423.665807795835,disease
18,103927.86796756956,16474.676236718802,disease
19,9451.537864346548,114114.10246252318,disease
20,188794.87680003632,138904.6230436951,disease
21,-153210.13909340597,145436.44382964785,disease
22,-70998.79075914838,272968.79434308544,disease
23,82276.02299038446,-131000.30350914475,disease
24,124636.9566080074,367172.44279286015,disease
25,-19604.402372635497,19975.67416161161,disease
26,-108041.60865040577,-80146.99323008845,disease
27,12788.03401815799,5042.074666448407,disease
28,-44188.70493947768,17662.45691736767,disease
29,-51486.37680838469,18509.411015964764,disease
30,37896.880300211145,36977.03290479292,disease
31,161326.45634046316,-43877.27850326763,disease
32,134404.40868768116,611.4906106485039,disease
33,153488.41192370272,-91425.68031319969,disease
34,-55603.943631632195,-61190.72555522278,disease
35,17974.49008596342,-6417.254542446614,disease
36,70077.5529367831,268805.66545577184,disease
37,19393.609583764046,-47634.72833050019,disease
38,78658.90815607726,-19113.804855298058,disease
39,-47810.41236574374,-13794.744094967833,disease
40,201739.75405030965,-44161.418949432016,disease
41,-60341.91410602647,-60565.2889388989,control
42,-43427.187774546845,-71210.92675259542,control
43,-149.85258486733636,-34393.67628971091,control
44,-85320.15039050527,-29100.281307596662,control
45,-44830.27287876847,10638.436932875673,control
46,101605.10709064158,-56281.91687831314,control
47,50597.81107040696,-36951.17910938489,control
48,-174717.2923430365,-46950.962352081224,control
49,-5864.165344922558,7591.2638962013925,control
50,-37843.65213224774,-23291.534154237987,control
51,-67258.24272682298,-10365.931500047807,control
52,-21891.900188795746,-70806.06158379624,control
53,-47266.909927416316,10226.376477253863,control
54,-118273.55471499756,86897.51525225482,control
55,-15457.462188458976,-27538.449185259597,control
56,14040.845959904591,-69801.31359922368,control
57,-66856.5897231802,-40857.97650628044,control
58,-37866.08125204989,-85772.05050142936,control
59,-8390.1601233792,-58270.85200221174,control
60,211970.82366193386,-81887.88812538832,control
61,18249.86742713651,33711.774197367835,control
62,-55347.4934073246,-14949.585974102267,control
63,-44877.802740661726,-174332.76621097408,control
64,159601.103634181,-74102.74280559017,control
65,-206710.34012708615,-38062.98127447951,control
66,18961.747375318017,89772.79125794003,control
67,-13417.037766094782,-40275.440506414685,control
68,-155068.71863555425,-49656.539185496724,control
69,67857.88751286396,-64429.82104797819,control
70,25016.867814227622,6662.755152311887,control
71,54633.85130800499,6291.665496703093,control
72,-23074.161729892025,-59038.99395356873,control
73,-61558.654231059845,-88032.58107474417,control
74,1714.278183387484,-53740.483425354694,control
75,-20380.91447911778,9881.393539815832,control
76,20587.25655064635,3365.5128635465203,control
77,-17470.617355460516,-59355.57526420073,control
78,146300.8987009481,33375.903603394334,control
79,75010.07419500506,-77012.42463282151,control
80,112922.71662000804,-33203.63769424344,control
81,-39521.266910433565,-57006.65763262067,control
