,tsne1,tsne2,Class
0,-2.449986457824707,-28.949304580688477,disease
1,-15.093144416809082,71.72545623779297,disease
2,-9.217259407043457,137.49880981445312,disease
3,145.92337036132812,-46.26670455932617,disease
4,-19.094970703125,-113.28114318847656,disease
5,24.74372100830078,28.420339584350586,disease
6,30.88607406616211,103.0978775024414,disease
7,-111.85281372070312,18.105661392211914,disease
8,-73.51361083984375,-0.6703067421913147,disease
9,-130.28341674804688,-59.59197235107422,disease
10,2.8667080402374268,-3.746945381164551,disease
11,-39.111061096191406,130.62893676757812,disease
12,53.75603103637695,128.99533081054688,disease
13,1.8919051885604858,-142.197998046875,disease
14,-8.23262882232666,40.8834114074707,disease
15,131.49034118652344,-23.31112289428711,disease
16,29.69124412536621,79.35926055908203,disease
17,-45.088218688964844,74.21100616455078,disease
18,75.10099029541016,-58.528053283691406,disease
19,-32.90117263793945,159.74905395507812,disease
20,26.881315231323242,196.33941650390625,disease
21,-75.71978759765625,105.79044342041016,disease
22,-118.0536117553711,108.94683074951172,disease
23,-99.64623260498047,-137.6447296142578,disease
24,-80.15127563476562,182.63595581054688,disease
25,43.524436950683594,46.55708312988281,disease
26,164.31324768066406,-18.782283782958984,disease
27,77.09864044189453,43.94612503051758,disease
28,-38.41197204589844,36.18886184692383,disease
29,81.68362426757812,69.20830535888672,disease
30,130.9356689453125,-82.65850067138672,disease
31,-23.474645614624023,-62.697879791259766,disease
32,3.8958232402801514,201.94639587402344,disease
33,-68.00975036621094,-99.6558837890625,disease
34,-101.94671630859375,-115.15436553955078,disease
35,-138.448486328125,54.816978454589844,disease
36,-64.68974304199219,150.33883666992188,disease
37,-70.68169403076172,-66.7600326538086,disease
38,-82.20928192138672,-42.343849182128906,disease
39,-118.76022338867188,-5.321072101593018,disease
40,-58.16230392456055,-137.35935974121094,disease
41,111.2581787109375,56.34759521484375,control
42,64.4738998413086,-8.546504020690918,control
43,137.8197479248047,25.99640655517578,control
44,111.78643035888672,94.38258361816406,control
45,8.915998458862305,66.07755279541016,control
46,-129.244384765625,-105.15858459472656,control
47,-27.348417282104492,-729.0986938476562,control
48,-148.91677856445312,751.36572265625,control
49,-102.54219818115234,74.14540100097656,control
50,-91.6913833618164,54.64564895629883,control
51,101.24622344970703,30.773605346679688,control
52,38.1854248046875,-9.131928443908691,control
53,65.2871322631836,104.82127380371094,control
54,-26.322052001953125,109.6323013305664,control
55,99.7900161743164,-74.9162826538086,control
56,14.980998992919922,-109.57079315185547,control
57,142.2622528076172,68.60369873046875,control
58,86.50066375732422,-116.03329467773438,control
59,53.6494140625,-36.08221435546875,control
60,-2.390549659729004,-83.20258331298828,control
61,28.840538024902344,-82.92849731445312,control
62,100.84030151367188,-47.0941162109375,control
63,-97.81663513183594,-183.31532287597656,control
64,-99.76478576660156,-70.99608612060547,control
65,118.99966430664062,5.705327987670898,control
66,17.93804931640625,134.5632781982422,control
67,167.34144592285156,41.25650405883789,control
68,86.07525634765625,143.1763153076172,control
69,8.221056938171387,-58.775367736816406,control
70,3.0148427486419678,99.38603210449219,control
71,52.26746368408203,23.750812530517578,control
72,47.42222595214844,-63.7955436706543,control
73,92.01099395751953,-20.26691246032715,control
74,78.71287536621094,13.641937255859375,control
75,56.43027114868164,68.78143310546875,control
76,52.40797424316406,-129.6537322998047,control
77,30.887283325195312,-44.50537872314453,control
78,-28.817419052124023,-87.72972106933594,control
79,61.01749801635742,-96.3997802734375,control
80,-112.53977966308594,-43.122615814208984,control
81,-82.58722686767578,23.224720001220703,control
