Number of Metabolites,Accuracy
1,0.6893939393939394
2,0.7803030303030303
3,0.7803030303030303
4,0.9090909090909094
5,0.6893939393939394
6,0.9090909090909094
7,0.9090909090909094
8,0.7727272727272726
9,0.9090909090909094
10,0.9545454545454548
11,0.8257575757575759
12,0.8712121212121213
13,0.7727272727272726
14,0.9090909090909094
15,0.9166666666666667
16,0.8181818181818181
17,0.8181818181818181
18,0.9090909090909094
19,1.0
20,0.9090909090909094
21,0.9545454545454548
22,0.9545454545454548
23,0.9545454545454548
24,1.0
25,0.9545454545454548
26,0.9545454545454548
